Date	Plane	Type	Route		Total	PIC	Day Landings	Night Landings	Approaches	Day	Night	SEL	MEL	SES	MES	Hooded	Custom	Complex	High Perf.	Tail Dragger	Simulated Instrument	Actual Instrument	Cross Country	Dual Given	Dual Received	Remarks
11/7/76	N60610	C-150	WAU-WAU		 0.8 	 -   	 1 	 -   	 -   	 0.8 	 -   	 0.8 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.8 	 Intro 
11/13/76	N60610	C-150	WAU-WAU		 0.9 	 -   	 1 	 -   	 -   	 0.9 	 -   	 0.9 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.9 	 -   
11/24/76	N60610	C-150	WAU-WAU		 1.0 	 -   	 2 	 -   	 -   	 1.0 	 -   	 1.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.0 	 -   
12/3/76	N60610	C-150	WAU-WAU		 0.8 	 -   	 2 	 -   	 -   	 0.8 	 -   	 0.8 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.8 	 -   	 0.8 	 -   
12/10/76	N60610	C-150	WAU-WAU		 1.1 	 -   	 2 	 -   	 -   	 1.1 	 -   	 1.1 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.1 	 -   
12/22/76	N60610	C-150	WAU-WAU		 0.9 	 -   	 1 	 -   	 -   	 0.9 	 -   	 0.9 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.9 	 -   
12/29/76	N60610	C-150	WAU-WAU		 1.0 	 -   	 1 	 -   	 -   	 1.0 	 -   	 1.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.0 	 -   
1/5/77	N60610	C-150	WAU-WAU		 0.9 	 -   	 2 	 -   	 -   	 0.9 	 -   	 0.9 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.9 	 -   
1/15/77	N60610	C-150	WAU-WAU		 0.6 	 -   	 3 	 -   	 -   	 0.6 	 -   	 0.6 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.6 	 -   
1/23/77	N60610	C-150	WAU-WAU		 0.8 	 0.2 	 4 	 -   	 -   	 0.8 	 -   	 0.8 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.6 	 FIRST SOLO 
1/30/77	N60610	C-150	WAU-WAU		 1.1 	 0.6 	 2 	 -   	 -   	 1.1 	 -   	 1.1 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.5 	 -   
2/6/77	N60610	C-150	WAU-WAU		 1.0 	 0.6 	 2 	 -   	 -   	 1.0 	 -   	 1.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.4 	 -   
2/11/77	N60610	C-150	WAU-WAU		 1.1 	 -   	 2 	 -   	 -   	 1.1 	 -   	 1.1 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.1 	 -   	 1.1 	 -   
2/17/77	N60610	C-150	WAU-WAU		 0.9 	 0.9 	 1 	 -   	 -   	 0.9 	 -   	 0.9 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 SOLO 
2/22/77	N60610	C-150	WAU-WAU		 0.9 	 -   	 2 	 -   	 -   	 0.9 	 -   	 0.9 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.9 	 Dual Lazy 8's & Chandells 
2/22/77	N60610	C-150	WAU-WAU		 1.0 	 1.0 	 4 	 -   	 -   	 1.0 	 -   	 1.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 Solo turns, Solo flight 
3/10/77	N60610	C-150	WAU-WAU		 0.8 	 0.8 	 2 	 -   	 -   	 0.8 	 -   	 0.8 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.8 	 -   	 -   	 Solo X/C within 25 mi 
3/13/77	N60610	C-150	WAU-WAU		 1.1 	 -   	 2 	 -   	 -   	 1.1 	 -   	 1.1 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.1 	 Radio work - Omni toward LAL 
3/23/77	N60610	C-150	WAU-WAU		 0.9 	 -   	 2 	 -   	 -   	 0.9 	 -   	 0.9 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.9 	 -   	 0.9 	 Dual X/C to LAL 
4/1/77	N60610	C-150	WAU-WAU		 0.8 	 0.8 	 1 	 -   	 -   	 0.8 	 -   	 0.8 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.2 	 -   	 -   	 Solo X-Wind, short field & T.O. 
4/10/77	N60610	C-150	WAU-WAU		 1.2 	 1.2 	 2 	 -   	 -   	 1.2 	 -   	 1.2 	 -   	 -   	 -   	 0.2 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 Solo X/C to LAL 
4/17/77	N60610	C-150	WAU-WAU		 0.2 	 0.2 	 1 	 -   	 -   	 0.2 	 -   	 0.2 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
4/26/77	N60610	C-150	WAU-WAU		 0.3 	 0.3 	 1 	 -   	 -   	 0.3 	 -   	 0.3 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
5/5/77	N60610	C-150	WAU-Myakka Cty		 0.4 	 0.4 	 1 	 -   	 -   	 0.4 	 -   	 0.4 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.4 	 -   	 -   	 Landed @ Rusty Pot Ranch 
5/5/77	N60610	C-150	Myakka Cty-WAU		 0.4 	 0.4 	 1 	 -   	 -   	 0.4 	 -   	 0.4 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.4 	 -   	 -   	 -   
6/3/77	N60610	C-150	WAU-WAU		 0.3 	 0.3 	 2 	 -   	 -   	 0.3 	 -   	 0.3 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
6/21/77	N60610	C-150	WAU-WAU		 0.4 	 0.4 	 2 	 -   	 -   	 0.4 	 -   	 0.4 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 S-Turns, Lazy 8's 
7/6/77	N60610	C-150	WAU-WAU		 0.3 	 0.3 	 1 	 -   	 -   	 0.3 	 -   	 0.3 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
8/21/77	N60610	C-150	WAU-Myakka Cty		 0.4 	 0.4 	 1 	 -   	 -   	 0.4 	 -   	 0.4 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.4 	 -   	 -   	 Solo X/C within 25 mi 
8/21/77	N60610	C-150	Myakka Cty-WAU		 0.4 	 0.4 	 1 	 -   	 -   	 0.4 	 -   	 0.4 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.4 	 -   	 -   	 Solo X/C within 25 mi 
8/30/77	N60610	C-150	WAU-WAU		 0.5 	 0.5 	 2 	 -   	 -   	 0.5 	 -   	 0.5 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.5 	 -   	 -   	 Solo X/C within 25 mi 
9/3/77	N60610	C-150	WAU-WAU		 1.2 	 1.2 	 4 	 -   	 -   	 1.2 	 -   	 1.2 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 Solo 
9/15/77	N60610	C-150	WAU-WAU		 1.3 	 1.3 	 2 	 -   	 -   	 1.3 	 -   	 1.3 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 Perimiter turns 
9/27/77	N60610	C-150	WAU-WAU		 1.2 	 1.2 	 1 	 -   	 -   	 1.2 	 -   	 1.2 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 Solo 
9/30/77	N60610	C-150	WAU-WAU		 1.4 	 1.4 	 4 	 -   	 -   	 1.4 	 -   	 1.4 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
