DATE	"AIRCRAFT MAKE
& MODEL"	"AIRCRAFT
IDENT"	ROUTE OF FLIGHT	DURATION	"LANDINGS
DAY"	INSTRUMENT	"SIMULATED
INSTRUMENT"	NIGHT	SIMULATOR	"CROSS
COUNTRY"	SOLO	"PILOT IN
COMMAND"	DUAL	INSTRUCTOR	"FLIGHT
COST"	EXPENSES	REMARKS
9/14/2009	PA28R-200	N41363	BED	1.4	1							1.4	1.4		203		stage 1 cfi check with jake
9/26/2009																	
9/14/2009	PA28R-200	N41363	BED	1.4	1							1.4	1.4		203		stage 1 cfi check with jake
9/26/2009																	
9/26/2009																	
5/29/2005	L-23	118BB	3B3	0.4	1								0.4				Steve Paavola
5/29/2005	L-23	118BB	3B3	0.4	1								0.4				Steve Paavola
6/11/2005	L-23	373BA	3B3	0.4	1								0.4				
6/18/2005	L-23	118BB	3B3	0.2	1								0.2				
6/18/2005	L-23	118BB	3B3	0.3	1								0.3				
7/10/2005	L-23	118BB	3B3	0.3	1								0.3				
7/28/2005	Feb-33	17899	3B3	0.3	1								0.3				
8/7/2005	Feb-33	17899	3B3	0.3	1								0.3				
8/7/2005	Feb-33	17899	3B3	0.3	1								0.3				
8/11/2005	L-23	118BB	3B3	0.1	1								0.1				
9/4/2005	Feb-33	17899	3B3	0.3	1								0.3				
9/4/2005	Feb-33	17899	3B3	0.3	1								0.3				
9/11/2005	Feb-33	17899	3B3	0.5	1								0.5				
9/11/2005	Feb-33	17899	3B3	0.3	1								0.3				
10/30/2005	L-23	118BB	3B3	0.3	1								0.3				
11/6/2005	L-23	118BB	3B3	0.2	1								0.2				
11/6/2005	L-23	118BB	3B3	0.3	1								0.3				
11/12/2005	L-23	118BB	3B3	0.3	1								0.3				
11/12/2005	L-23	118BB	3B3	0.3	1								0.3				
11/27/2005	L-23	373BA	3B3	0.2	1								0.2				Ken Rosenberg
11/27/2005	L-23	373BA	3B3	0.1	1								0.1				Ken Rosenberg
5/28/2006	L-23	373BA	3B3	0.3	1								0.3				Steve Paavola
6/11/2006	L-23	118BB	3B3	0.5	1								0.5				Gerry Bell
6/11/2006	L-23	118BB	3B3	0.2	1								0.2				Gerry Bell
6/17/2006	L-23	373BA	3B3	0.2	1								0.2				
6/17/2006	L-23	373BA	3B3	0.4	1								0.4				
7/1/2006	L-23	373BA	3B3	0.4	1								0.4				Steve Paavola
7/1/2006	L-23	373BA	3B3	0.2	1								0.2				Steve Paavola
7/5/2006	Feb-33	17899	3B3	0.3	1								0.3				
7/5/2006	Feb-33	17899	3B3	0.2	1								0.2				
7/8/2006	Feb-33	17899	3B3	0.2	1								0.2				Roy B
7/8/2006	Feb-33	17899	3B3	0.2	1								0.2				Roy B
7/8/2006	Feb-33	17899	3B3	0.2	1						0.2	0.2					First Solo
7/19/2006	Feb-33	17899	3B3	0.2	1								0.2				
7/19/2006	Feb-33	17899	3B3	0.2	1								0.2				
7/26/2006	Feb-33	17899	3B3	0.2	1								0.2				Roy B
7/26/2006	Feb-33	17899	3B3	0.2	1						0.2	0.2					
7/29/2006	Feb-33	17899	3B3	0.2	1								0.2				Roy B
7/29/2006	Feb-33	17899	3B3	0.3	1								0.3				Roy B
8/2/2006	L-23	373BA	3B3	0.2	1								0.2				
8/5/2006	Feb-33	17899	3B3	0.5	1								0.5				Dave Zlotek
8/9/2006	Feb-33	17899	3B3	0.2	1								0.2				
8/9/2006	Feb-33	17899	3B3	0.2	1						0.2	0.2					
8/13/2006	Cessna 150	N45434	3B3 to Nash	0.5	1								0.5		45		Intro FLight
