Date,Aircraft Type,Aircraft Ident,Route of Flight,Time in Flight,Day Landings,Night Landings,Instrument,Simulated Instrument,Approaches,Simulator,Night,Cross Country,Solo,Pilot in Command,Second in Command,Dual,As Instructor,Remarks
"07/25/05","C172S","N577SP","OWD-OWD",0.9,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,"C-172 Intro Flight, St & Level, Climbs, Descents"
"08/08/05","C172S","N577SP","OWD-OWD",1.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Climbing & Descending Turns, Approach to Landing Stalls, Steep Turns"
"10/02/05","C152","N95005","1B9-1B9",1.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Approach to ldg stalls, steep turns, slo flt"
"10/29/05","C152","N95005","1B9-1B9",1.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Intro tracking PUT/BOS Vor's, app to ldg stalls, intro emerg. proc."
"11/13/05","C152","N95005","1B9-1B9",0.9,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,"Slo flt, app to ldg stall, emerg proc, steep turns, vor x-wind"
"12/19/05","C152","N95005","1B9-1B9",1.2,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,"S-Turns, turns about a point, app to ldg stalls, emerg proc."
"12/22/05","PA28-161","N6909A","1B9-1B9",1.2,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,"Intro to warrior, slo flt, pwr off stalls, track vor & adf, to's & ldg's"
"12/27/05","C152","N89269","1B9-EWB-1B9",1.0,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Pilotage to New Bedford, 32 winds 34G21"
"02/11/06","C152","N89269","1B9-UUU-1B9",1.2,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,"Pilotage to Newport, PVD app flt follow"
"03/17/06","C172S","N2120M","1B9-ORH-1B9",1.2,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,"Pilotage to ORH, ATC Ops"
"03/22/06","C152","N89269","1B9-3B2-1B9",1.3,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,"Pilotage to Marshfield, emerg. procedures"
"03/24/06","C172S","N2143X","1B9-PVD-1B9",1.0,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Class C ops, to Providence"
"04/29/06","C172S","N2138W","1B9-1B9",0.8,1,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,"Basic inst flying, climbs, turns, descents, tracking VOR's, grass field"
"06/17/06","C172S","N2120M","1B9-MVY-1B9",1.5,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,"Pilotage to MVY, atc, autopilot, emerg. proc, eng out ldg"
"07/29/06","C172S","N2143X","1B9-1B9",1.1,5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,"Pilotage, VOR's, Steep Turns, emerg, soft/short to's & ldg's"
"07/30/06","C172R","N2438D","1B9-1B9",1.1,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,"Emerg spiral down to ldg, to's & ldg's"
"08/05/06","C172S","N2120M","1B9-OWD-1B9",1.2,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,"Twr ops, tracking VOR, slo flt, pwn on/off stalls, emerg"
"08/06/06","C172S","N2120M","1B9-1B9",1.1,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,"Pwr on/off stalls, slo flt, emerg spiral ldg, no flap ldg"
